Time - 25793, Count - 55, Len(cost) - 2954004, Memory(MB) - 569
Time - 1661, Count - 62, Len(cost) - 193327, Memory(MB) - 35
Time - 10639, Count - 59, Len(cost) - 1218354, Memory(MB) - 212
Time - 9078, Count - 57, Len(cost) - 1095776, Memory(MB) - 191
Time - 170, Count - 52, Len(cost) - 16790, Memory(MB) - 2
Time - 8492, Count - 63, Len(cost) - 1035897, Memory(MB) - 184
Time - 1625, Count - 50, Len(cost) - 203797, Memory(MB) - 36
Time - 9319, Count - 60, Len(cost) - 1106106, Memory(MB) - 196
Time - 406, Count - 42, Len(cost) - 51149, Memory(MB) - 8
Time - 21198, Count - 62, Len(cost) - 2587838, Memory(MB) - 444
Time - 2961, Count - 57, Len(cost) - 361095, Memory(MB) - 66
Time - 5322, Count - 60, Len(cost) - 645104, Memory(MB) - 110
Time - 10275, Count - 59, Len(cost) - 1273189, Memory(MB) - 219
Time - 45084, Count - 67, Len(cost) - 5705552, Memory(MB) - 979
Time - 3116, Count - 56, Len(cost) - 363703, Memory(MB) - 67
Time - 366, Count - 53, Len(cost) - 50119, Memory(MB) - 9
Time - 7966, Count - 50, Len(cost) - 918433, Memory(MB) - 168
Time - 61724, Count - 66, Len(cost) - 7188460, Memory(MB) - 1320
Time - 5079, Count - 58, Len(cost) - 617741, Memory(MB) - 104
Time - 4389, Count - 57, Len(cost) - 566247, Memory(MB) - 97
Time - 3943, Count - 55, Len(cost) - 502815, Memory(MB) - 89
Time - 2302, Count - 57, Len(cost) - 276349, Memory(MB) - 47
Time - 151, Count - 53, Len(cost) - 14276, Memory(MB) - 2
Time - 1251, Count - 52, Len(cost) - 145012, Memory(MB) - 24
Time - 1628, Count - 61, Len(cost) - 215719, Memory(MB) - 38
Time - 95279, Count - 61, Len(cost) - 11116973, Memory(MB) - 1929
Time - 9628, Count - 69, Len(cost) - 1194049, Memory(MB) - 204
Time - 758, Count - 57, Len(cost) - 99311, Memory(MB) - 17
Time - 6127, Count - 65, Len(cost) - 771359, Memory(MB) - 140
Time - 5804, Count - 56, Len(cost) - 697330, Memory(MB) - 130
Time - 7374, Count - 58, Len(cost) - 899248, Memory(MB) - 164
Time - 413, Count - 45, Len(cost) - 50322, Memory(MB) - 9
Time - 3094, Count - 52, Len(cost) - 390504, Memory(MB) - 71
Time - 665, Count - 57, Len(cost) - 85755, Memory(MB) - 15
Time - 168, Count - 43, Len(cost) - 22806, Memory(MB) - 4
Time - 6190, Count - 56, Len(cost) - 730878, Memory(MB) - 140
Time - 15475, Count - 56, Len(cost) - 1829185, Memory(MB) - 333
Time - 4970, Count - 67, Len(cost) - 618042, Memory(MB) - 106
Time - 42648, Count - 60, Len(cost) - 5128435, Memory(MB) - 899
Time - 836, Count - 50, Len(cost) - 70193, Memory(MB) - 11
Time - 32326, Count - 60, Len(cost) - 3849335, Memory(MB) - 701
Time - 951, Count - 58, Len(cost) - 101203, Memory(MB) - 17
Time - 197, Count - 48, Len(cost) - 28032, Memory(MB) - 5
Time - 3115, Count - 54, Len(cost) - 391111, Memory(MB) - 71
Time - 236, Count - 51, Len(cost) - 31268, Memory(MB) - 5
Time - 1360, Count - 50, Len(cost) - 173855, Memory(MB) - 31
Time - 19325, Count - 52, Len(cost) - 2396240, Memory(MB) - 415
Time - 6209, Count - 49, Len(cost) - 750946, Memory(MB) - 140
Time - 6164, Count - 59, Len(cost) - 750885, Memory(MB) - 138
Time - 10836, Count - 58, Len(cost) - 1315892, Memory(MB) - 223
Time - 157, Count - 47, Len(cost) - 11044, Memory(MB) - 1




Time - 25442, Count - 60, Len(cost) - 3153886, Memory(MB) - 592
Time - 788, Count - 52, Len(cost) - 84140, Memory(MB) - 15
Time - 12580, Count - 59, Len(cost) - 1530530, Memory(MB) - 282
Time - 7041, Count - 63, Len(cost) - 900257, Memory(MB) - 160
Time - 63724, Count - 63, Len(cost) - 7467379, Memory(MB) - 1359
Time - 1542, Count - 53, Len(cost) - 116330, Memory(MB) - 20
Time - 85510, Count - 65, Len(cost) - 10237347, Memory(MB) - 1777
Time - 1117, Count - 56, Len(cost) - 77015, Memory(MB) - 14
Time - 163, Count - 61, Len(cost) - 22154, Memory(MB) - 3
Time - 24964, Count - 59, Len(cost) - 2957678, Memory(MB) - 556
Time - 6391, Count - 60, Len(cost) - 775619, Memory(MB) - 143
Time - 2547, Count - 52, Len(cost) - 322686, Memory(MB) - 54
Time - 1203, Count - 52, Len(cost) - 153431, Memory(MB) - 26
Time - 24234, Count - 64, Len(cost) - 2896801, Memory(MB) - 547
Time - 2892, Count - 59, Len(cost) - 330749, Memory(MB) - 63
Time - 2753, Count - 52, Len(cost) - 340991, Memory(MB) - 64
Time - 3619, Count - 51, Len(cost) - 466621, Memory(MB) - 82
Time - 27644, Count - 57, Len(cost) - 3324438, Memory(MB) - 616
Time - 855, Count - 50, Len(cost) - 80666, Memory(MB) - 15
Time - 3857, Count - 55, Len(cost) - 508902, Memory(MB) - 89
Time - 9294, Count - 58, Len(cost) - 1172199, Memory(MB) - 200
Time - 135, Count - 52, Len(cost) - 10176, Memory(MB) - 1
Time - 1698, Count - 58, Len(cost) - 213326, Memory(MB) - 38
Time - 255, Count - 53, Len(cost) - 35233, Memory(MB) - 6
Time - 412, Count - 47, Len(cost) - 55360, Memory(MB) - 9
Time - 10775, Count - 62, Len(cost) - 1298160, Memory(MB) - 225
Time - 2009, Count - 63, Len(cost) - 250280, Memory(MB) - 43
Time - 321, Count - 50, Len(cost) - 46082, Memory(MB) - 8
Time - 47798, Count - 65, Len(cost) - 5595080, Memory(MB) - 965
Time - 89648, Count - 66, Len(cost) - 10715805, Memory(MB) - 1847
Time - 2283, Count - 52, Len(cost) - 189946, Memory(MB) - 34
Time - 5905, Count - 53, Len(cost) - 696597, Memory(MB) - 131
Time - 3670, Count - 60, Len(cost) - 459903, Memory(MB) - 81
Time - 8452, Count - 55, Len(cost) - 1051649, Memory(MB) - 184
Time - 9702, Count - 63, Len(cost) - 1220266, Memory(MB) - 209
Time - 1656, Count - 54, Len(cost) - 206181, Memory(MB) - 37
Time - 1486, Count - 54, Len(cost) - 178385, Memory(MB) - 32
Time - 336, Count - 55, Len(cost) - 45681, Memory(MB) - 8
Time - 2303, Count - 48, Len(cost) - 287919, Memory(MB) - 49
Time - 25564, Count - 60, Len(cost) - 3017184, Memory(MB) - 570
Time - 1493, Count - 51, Len(cost) - 156673, Memory(MB) - 29
Time - 324, Count - 46, Len(cost) - 48213, Memory(MB) - 8
Time - 423, Count - 52, Len(cost) - 56297, Memory(MB) - 9
Time - 60318, Count - 62, Len(cost) - 7075442, Memory(MB) - 1292
Time - 5305, Count - 46, Len(cost) - 601409, Memory(MB) - 103
Time - 11896, Count - 62, Len(cost) - 1477758, Memory(MB) - 274
Time - 198, Count - 45, Len(cost) - 17166, Memory(MB) - 2
Time - 1691, Count - 55, Len(cost) - 220229, Memory(MB) - 39
Time - 83526, Count - 66, Len(cost) - 9912686, Memory(MB) - 1723
56 12119
