Time - 158, Count - 231, Len(cost) - 12090, Memory(MB) - 2
Time - 41, Count - 196, Len(cost) - 3995, Memory(MB) - 0
Time - 122, Count - 293, Len(cost) - 20310, Memory(MB) - 3
Time - 53, Count - 247, Len(cost) - 9168, Memory(MB) - 1
Time - 116, Count - 278, Len(cost) - 18777, Memory(MB) - 3
Time - 42, Count - 295, Len(cost) - 7059, Memory(MB) - 1
Time - 33, Count - 236, Len(cost) - 5733, Memory(MB) - 0
Time - 96, Count - 220, Len(cost) - 14896, Memory(MB) - 2
Time - 61, Count - 214, Len(cost) - 10437, Memory(MB) - 1
Time - 34, Count - 234, Len(cost) - 5949, Memory(MB) - 0
Time - 11, Count - 147, Len(cost) - 1749, Memory(MB) - 0
Time - 23, Count - 204, Len(cost) - 4046, Memory(MB) - 0
Time - 44, Count - 273, Len(cost) - 5853, Memory(MB) - 0
Time - 63, Count - 327, Len(cost) - 11334, Memory(MB) - 1
Time - 48, Count - 246, Len(cost) - 7168, Memory(MB) - 1
Time - 111, Count - 297, Len(cost) - 12017, Memory(MB) - 2
Time - 42, Count - 184, Len(cost) - 6783, Memory(MB) - 1
Time - 173, Count - 436, Len(cost) - 26095, Memory(MB) - 4
Time - 38, Count - 202, Len(cost) - 6601, Memory(MB) - 1
Time - 129, Count - 243, Len(cost) - 19535, Memory(MB) - 3
Time - 126, Count - 227, Len(cost) - 21152, Memory(MB) - 3
Time - 34, Count - 237, Len(cost) - 5843, Memory(MB) - 0
Time - 24, Count - 193, Len(cost) - 3863, Memory(MB) - 0
Time - 82, Count - 296, Len(cost) - 12332, Memory(MB) - 2
Time - 138, Count - 361, Len(cost) - 20221, Memory(MB) - 3
Time - 129, Count - 359, Len(cost) - 21567, Memory(MB) - 3
Time - 72, Count - 335, Len(cost) - 10864, Memory(MB) - 1
Time - 80, Count - 389, Len(cost) - 13921, Memory(MB) - 2
Time - 29, Count - 171, Len(cost) - 5014, Memory(MB) - 0
Time - 80, Count - 264, Len(cost) - 13373, Memory(MB) - 2
Time - 62, Count - 314, Len(cost) - 7835, Memory(MB) - 1
Time - 26, Count - 139, Len(cost) - 3924, Memory(MB) - 0
Time - 25, Count - 172, Len(cost) - 4066, Memory(MB) - 0
Time - 29, Count - 163, Len(cost) - 4495, Memory(MB) - 0
Time - 81, Count - 257, Len(cost) - 12241, Memory(MB) - 2
Time - 47, Count - 256, Len(cost) - 7322, Memory(MB) - 1
Time - 33, Count - 240, Len(cost) - 5395, Memory(MB) - 0
Time - 32, Count - 303, Len(cost) - 5558, Memory(MB) - 0
Time - 47, Count - 220, Len(cost) - 8413, Memory(MB) - 1
Time - 52, Count - 136, Len(cost) - 7538, Memory(MB) - 1
Time - 41, Count - 206, Len(cost) - 6513, Memory(MB) - 1
Time - 22, Count - 246, Len(cost) - 3724, Memory(MB) - 0
Time - 34, Count - 160, Len(cost) - 6005, Memory(MB) - 0
Time - 55, Count - 328, Len(cost) - 7406, Memory(MB) - 1
Time - 18, Count - 129, Len(cost) - 2936, Memory(MB) - 0
Time - 23, Count - 214, Len(cost) - 3639, Memory(MB) - 0
Time - 28, Count - 188, Len(cost) - 3883, Memory(MB) - 0
Time - 58, Count - 221, Len(cost) - 10164, Memory(MB) - 1
Time - 26, Count - 229, Len(cost) - 4322, Memory(MB) - 0
Time - 99, Count - 286, Len(cost) - 16474, Memory(MB) - 2


Time - 21, Count - 187, Len(cost) - 3078, Memory(MB) - 0
Time - 84, Count - 368, Len(cost) - 14305, Memory(MB) - 2
Time - 62, Count - 244, Len(cost) - 10838, Memory(MB) - 1
Time - 69, Count - 231, Len(cost) - 10539, Memory(MB) - 1
Time - 30, Count - 269, Len(cost) - 4949, Memory(MB) - 0
Time - 18, Count - 211, Len(cost) - 3148, Memory(MB) - 0
Time - 8, Count - 95, Len(cost) - 1276, Memory(MB) - 0
Time - 20, Count - 183, Len(cost) - 3481, Memory(MB) - 0
Time - 185, Count - 302, Len(cost) - 26509, Memory(MB) - 4
Time - 149, Count - 357, Len(cost) - 21531, Memory(MB) - 3
Time - 115, Count - 303, Len(cost) - 17117, Memory(MB) - 2
Time - 92, Count - 334, Len(cost) - 11914, Memory(MB) - 1
Time - 205, Count - 352, Len(cost) - 32120, Memory(MB) - 5
Time - 113, Count - 228, Len(cost) - 18710, Memory(MB) - 3
Time - 136, Count - 320, Len(cost) - 20357, Memory(MB) - 3
Time - 18, Count - 219, Len(cost) - 2804, Memory(MB) - 0
Time - 36, Count - 224, Len(cost) - 4319, Memory(MB) - 0
Time - 78, Count - 251, Len(cost) - 12126, Memory(MB) - 2
Time - 41, Count - 307, Len(cost) - 7175, Memory(MB) - 1
Time - 31, Count - 260, Len(cost) - 5401, Memory(MB) - 0
Time - 57, Count - 227, Len(cost) - 9965, Memory(MB) - 1
Time - 57, Count - 214, Len(cost) - 9000, Memory(MB) - 1
Time - 120, Count - 256, Len(cost) - 17292, Memory(MB) - 2
Time - 16, Count - 178, Len(cost) - 2590, Memory(MB) - 0
Time - 90, Count - 313, Len(cost) - 14769, Memory(MB) - 2
Time - 45, Count - 171, Len(cost) - 7554, Memory(MB) - 1
Time - 72, Count - 304, Len(cost) - 12670, Memory(MB) - 2
Time - 37, Count - 251, Len(cost) - 5792, Memory(MB) - 0
Time - 55, Count - 268, Len(cost) - 6668, Memory(MB) - 1
Time - 50, Count - 325, Len(cost) - 8771, Memory(MB) - 1
Time - 142, Count - 486, Len(cost) - 21486, Memory(MB) - 3
Time - 35, Count - 174, Len(cost) - 5782, Memory(MB) - 0
Time - 7, Count - 91, Len(cost) - 1005, Memory(MB) - 0
Time - 98, Count - 288, Len(cost) - 17458, Memory(MB) - 2
Time - 57, Count - 225, Len(cost) - 7645, Memory(MB) - 1
Time - 32, Count - 261, Len(cost) - 5065, Memory(MB) - 0
Time - 42, Count - 316, Len(cost) - 7449, Memory(MB) - 1
Time - 14, Count - 186, Len(cost) - 2356, Memory(MB) - 0
Time - 63, Count - 269, Len(cost) - 10621, Memory(MB) - 1
Time - 32, Count - 170, Len(cost) - 4631, Memory(MB) - 0
Time - 22, Count - 218, Len(cost) - 3711, Memory(MB) - 0
Time - 129, Count - 275, Len(cost) - 19337, Memory(MB) - 3
Time - 42, Count - 214, Len(cost) - 6511, Memory(MB) - 1
Time - 74, Count - 316, Len(cost) - 12747, Memory(MB) - 2
Time - 51, Count - 244, Len(cost) - 8584, Memory(MB) - 1
Time - 30, Count - 166, Len(cost) - 4979, Memory(MB) - 0
Time - 100, Count - 332, Len(cost) - 16301, Memory(MB) - 2
Time - 36, Count - 197, Len(cost) - 6038, Memory(MB) - 0
Time - 39, Count - 165, Len(cost) - 6777, Memory(MB) - 1
Time - 69, Count - 330, Len(cost) - 11443, Memory(MB) - 1
249 62
